IDH,IDC,Distancia,Tiempo
1,475,4078,3249
1,490,4813,3793
1,491,5146,4032
1,492,5085,4038
1,497,3964,3161
1,181,20583,15555
1,272,20637,15612
1,141,10663,8549
1,344,14635,11827
1,438,12330,9926
1,183,6595,5231
1,494,7089,5612
1,495,7104,5624
1,7,5774,4144
1,12,4968,3602
1,22,4399,3198
1,26,5215,3887
1,31,3999,2902
1,34,4382,3219
1,45,5338,3867
1,93,5118,3714
1,115,5208,3782
1,168,5279,3838
1,206,6663,4763
1,219,5276,3836
1,221,4418,3205
1,241,5068,3681
1,275,5218,3790
1,283,4560,3278
1,309,5157,3748
1,326,4968,3602
1,373,4968,3602
1,409,5528,3977
1,414,6071,4343
1,431,4237,3076
1,443,5936,4255
1,453,5049,3671
1,463,4631,3367
1,74,2946,2372
1,383,2942,2386
1,417,2479,1951
1,499,2941,2385
1,23,1010,793
1,79,893,699
1,162,1590,1235
1,175,1790,1331
1,204,1806,1342
1,338,1273,978
1,390,1010,793
1,170,2475,1819
1,213,2405,1766
1,76,2052,1567
1,108,1033,826
1,128,852,686
1,148,5814,4170
1,164,2137,1619
1,234,2036,1525
1,235,2040,1558
1,245,990,768
1,258,994,771
1,287,1939,1483
1,294,1440,1119
1,302,1440,1119
1,381,1477,1121
1,415,1440,1119
1,428,1637,1260
1,487,1684,1277
1,488,1440,1119
1,500,1538,1172
1,6,3972,2882
1,10,3916,2847
1,28,2214,1640
1,37,2796,2061
1,63,3384,2479
1,71,3964,2877
1,72,2377,1751
1,73,3970,2893
1,75,3983,2933
1,77,4207,3083
1,86,3972,2899
1,97,3972,2899
1,105,3435,2519
1,111,4114,3023
1,119,3164,2320
1,158,4255,3126
1,182,2331,1721
1,184,2337,1749
1,218,4392,3227
1,222,4119,3027
1,226,3703,2694
1,263,4336,3120
1,276,4031,2928
1,284,3903,2882
1,296,2424,1833
1,297,3452,2518
1,298,6389,4503
1,300,3832,2834
1,330,3972,2899
1,335,3046,2244
1,340,3792,2814
1,348,2581,1908
1,353,2313,1705
1,354,3436,2563
1,366,2378,1753
1,372,4197,3090
1,376,3894,2813
1,399,4524,3298
1,406,3471,2588
1,418,3736,2716
1,427,3462,2609
1,451,4016,2927
1,476,2970,2191
1,489,4504,3233
1,11,8798,6367
1,25,7047,5001
1,80,6264,4483
1,100,6077,4292
1,116,7162,5018
1,140,6017,4254
1,142,6309,4439
1,171,6371,4485
1,195,5793,4156
1,198,6560,4620
1,200,6370,4561
1,202,6420,4604
1,225,5813,4126
1,229,5758,4092
1,285,6314,4455
1,324,7676,5363
1,360,4389,3183
1,362,5446,3927
1,368,6021,4256
1,395,8216,5742
1,401,5781,4162
1,454,5502,3903
1,459,6309,4439
1,14,3127,2416
1,65,3288,2540
1,88,3924,3042
1,89,4144,3221
1,95,2835,2203
1,101,4144,3221
1,147,4178,3212
1,152,4037,3133
1,179,3024,2347
1,211,3137,2424
1,268,4144,3221
1,279,4508,3462
1,280,4144,3221
1,336,4144,3221
1,349,4459,3403
1,377,3437,2654
1,384,3681,2817
1,402,3329,2568
1,457,2919,2266
1,465,3908,3031
1,4,3795,2901
1,56,3754,2879
1,61,1448,1054
1,178,1884,1386
1,301,3900,2986
1,33,5502,4101
1,35,4134,3111
1,41,5244,3908
1,67,5157,3849
1,82,6101,4505
1,91,6118,4522
1,106,4134,3111
1,133,6358,4636
1,144,4134,3111
1,157,4134,3111
1,167,4134,3111
1,173,4134,3111
1,312,6276,4606
1,325,6318,4649
1,332,4933,3685
1,343,5328,4226
1,375,4134,3111
1,388,5799,4312
1,392,6053,4475
1,394,5525,4104
1,397,5523,4112
1,40,3329,2576
1,90,3665,2858
1,102,3646,2856
1,103,4832,3809
1,104,3275,2557
1,126,3661,2861
1,150,3282,2540
1,199,3321,2591
1,212,3735,2918
1,355,3742,2933
1,425,3186,2481
1,269,16537,12222
1,189,14772,10784
1,205,15508,11346
1,352,15667,11413
1,367,13883,10139
1,416,14748,10784
1,426,15070,11005
1,432,15070,11005
1,493,14688,10740
1,3,5843,4584
1,117,4784,3751
1,134,5771,4520
1,227,3802,3016
1,434,3682,2926
1,378,4969,3814
1,17,8731,6595
1,351,8281,6208
1,20,7176,5739
1,66,4464,3508
2,156,15901,11786
2,311,14365,10626
2,13,22793,16279
2,240,22777,16268
2,328,22785,16274
2,1,19747,14230
2,85,18419,13258
2,123,18419,13258
2,201,18351,13229
2,230,21069,15842
2,261,17923,12915
2,313,18411,13281
2,316,20500,14846
2,342,16179,11650
2,114,12873,9249
2,295,14889,10703
2,323,12889,9262
2,365,12635,9076
2,398,14812,10661
2,455,16193,11641
2,60,26016,18490
2,130,26057,18517
2,155,35654,28335
2,386,31309,24744
2,441,28646,23170
2,154,30209,24090
2,303,30514,24192
2,274,26404,21355
2,39,28132,22664
2,187,28383,22887
2,214,28246,22780
2,314,28298,22815
2,403,28375,22867
2,305,33342,29161
2,59,24982,20244
2,129,26836,21582
2,166,26715,21493
2,288,26768,21539
2,469,26992,21692
2,216,13210,10410
2,232,13348,10549
2,460,13250,10478
2,473,13210,10410
2,9,14450,11473
2,29,16719,13299
2,68,16719,13299
2,118,14107,11167
2,122,16719,13299
2,138,15787,12520
2,190,15242,12122
2,231,13278,10502
2,273,16748,13295
2,396,18094,15136
2,404,14715,11716
2,442,17649,14023
2,447,16732,13283
2,480,14129,11187
2,486,16719,13299
2,197,41088,32347
2,456,9015,6514
2,87,10052,7285
2,120,9647,6991
2,132,10052,7285
2,369,10052,7285
2,436,9840,7126
2,496,10052,7285
2,53,9836,7290
2,55,10127,7566
2,107,11445,8716
2,151,10658,8004
2,188,10594,7940
2,293,10656,8003
2,341,10594,7940
2,346,10163,7576
2,153,8854,6679
2,289,10391,7986
2,339,8953,6968
2,52,7622,6006
2,137,9113,6852
2,145,7870,6173
2,228,7141,5638
2,282,7224,5350
2,315,7870,6173
2,327,8180,6404
2,334,9112,7023
2,350,7188,5326
2,363,6781,5361
2,379,8045,6294
2,413,10313,7590
2,421,8468,6590
2,433,7078,5586
2,448,7019,5546
2,439,11571,8652
2,483,6816,4925
2,407,11397,9164
2,320,10582,8393
2,319,13469,10933
2,58,11104,8649
2,8,11472,8937
2,49,11754,9190
2,135,11728,9159
2,143,11710,9115
2,161,11054,8629
2,307,10243,8008
2,387,14943,11670
2,419,11728,9159
2,424,11106,8708
2,299,10464,9064
2,331,8584,7038
2,2,5743,4501
2,36,7512,5691
2,38,5836,4535
2,47,10386,7808
2,64,6325,4921
2,84,7586,5751
2,172,8440,6408
2,180,7310,5544
2,186,5493,4298
2,194,7586,5751
2,247,7586,5751
2,248,7635,5789
2,253,7298,5536
2,259,7514,5696
2,260,7438,5638
2,265,7586,5751
2,266,7586,5751
2,267,7638,5790
2,321,7630,5785
2,333,5657,4418
2,345,7312,5545
2,357,8098,6125
2,371,8440,6408
2,385,5253,4140
2,389,8237,6239
2,405,9468,7123
2,420,7312,5545
2,423,5722,4488
2,429,6806,5245
2,430,8253,6287
2,435,8383,6314
